Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
RSI,Rush Street Interactive Inc,Consumer Cyclical,Gambling,4.87B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",4.2,1215.5,1,Growth,110.0,90.0,36,Transitional,-20,True,False,False,False,False,False,False,False
LAUR,Laureate Education Inc,Consumer Defensive,Education & Training Services,4.96B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.3,-1.0,1,Growth,110.0,90.0,16,Transitional,-20,True,False,False,False,False,False,False,False
GLNG,Golar Lng,Energy,Oil & Gas Midstream,5.76B,4,4,"2026-03-24, 2026-03-25, 2026-03-26, 2026-03-27",3.5,33.8,1,Growth,110.0,90.0,27,Transitional,-20,True,False,False,False,False,False,False,False
LXU,"LSB Industries, Inc",Basic Materials,Chemicals,1.17B,3,4,"2026-03-25, 2026-03-26, 2026-03-27",5.6,226.4,1,Growth,85.0,85.0,47,Transitional,0,False,False,False,False,False,False,False,False
TSEM,Tower Semiconductor Ltd,Technology,Semiconductors,21.09B,2,4,"2026-03-24, 2026-03-25",6.6,5.2,1,Week 20%+ Gain,60.0,85.0,41,Transitional,0,False,False,False,False,False,True,False,False
LASR,nLIGHT Inc,Technology,Semiconductors,4.00B,2,4,"2026-03-24, 2026-03-25",7.7,62.9,2,"52 Week High, Growth",90.0,80.0,36,Transitional,-20,True,False,False,False,True,False,False,False
VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services,33.21B,1,4,2026-03-25,4.6,697.1,1,IPO,35.0,80.0,89,Uptrend,30,False,False,True,False,False,False,False,False
EXE,Expand Energy Corp,Energy,Oil & Gas E&P,27.29B,3,4,"2026-03-24, 2026-03-25, 2026-03-27",3.5,285.5,1,Growth,85.0,75.0,34,Basing,-10,True,False,False,False,False,False,False,False
DAR,Darling Ingredients Inc,Consumer Defensive,Packaged Foods,9.40B,3,4,"2026-03-24, 2026-03-26, 2026-03-27",3.4,-77.3,1,52 Week High,85.0,75.0,24,Transitional,-20,True,False,False,False,True,False,False,False
ECVT,Ecovyst Inc,Basic Materials,Specialty Chemicals,1.44B,3,4,"2026-03-24, 2026-03-25, 2026-03-26",3.5,-995.2,1,52 Week High,85.0,75.0,10,Transitional,-20,True,False,False,False,True,False,False,False
